i.e.	26689499564806730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
Yaniv.	0.120225
Ancol.	0.120225
Gifco.	0.120225
Kebir.	0.120225
Aydın.	0.120225
Bunch.	0.120225
Rajaf.	0.120225
COLAT.	0.120225
SIGMA.	0.120225
Ricol.	0.120225
derby.	0.120225
Nasir.	0.120225
1.5°C.	0.120225
Wylfa.	0.120225
40 ºC.	0.120225
REFER.	0.120225
Sanna.	0.120225
EUSRs.	0.120225
Tigré.	0.120225
-city.	0.120225
Frist.	0.120225
Catot.	0.120225
dicit.	0.120225
Acaza.	0.120225
Olano.	0.120225
Luman.	0.120225
tinto.	0.120225
Khani.	0.120225
1770s.	0.120225
Yalon.	0.120225
snoop.	0.120225
4.6.b.	0.120225
13.3m.	0.120225
Lucan.	0.120225
Pusić.	0.120225
legis.	0.120225
s.p.a.	0.120225
Terai.	0.120225
9 a.m.	0.120225
Wavre.	0.120225
Nimes.	0.120225
hymen.	0.120225
coked.	0.120225
ricin.	0.120225
FIN-NET.	0.117110
Rantisi.	0.088457
cave-in.	0.088457
Minuted.	0.088457
Barrage.	0.088457
admixed.	0.088457
merrier.	0.088457
50 days.	0.088457
tumbled.	0.088457
Münster.	0.088457
wrapper.	0.088457
manhunt.	0.088457
healers.	0.088457
ordains.	0.088457
2078/EC.	0.088457
minimorum.	0.086228
Eurasia.	0.084865
broth.	0.079209
etcetera.	0.077117
untrue.	0.074788
saloon.	0.073706
bath-water.	0.065083
Devil.	0.061805
Strada.	0.057301
stripe.	0.057301
maybes.	0.057301
Perevi.	0.057301
unwary.	0.057301
comets.	0.057301
tiller.	0.057301
Lahoud.	0.057301
Cantat.	0.057301
Trebca.	0.057301
Rounds.	0.057301
ravine.	0.057301
skimpy.	0.057301
Rehman.	0.057301
wrists.	0.057301
setter.	0.057301
feasts.	0.057301
Stupid.	0.057301
PABSEC.	0.057301
minuted.	0.053599
timebomb.	0.051445
Pagano.	0.050311
cults.	0.050048
valueless.	0.048812
eyelid.	0.045474
Sulina.	0.044228
CEPROM.	0.044228
Dashti.	0.044228
Ulmann.	0.044228
Ocanan.	0.044228
Mestre.	0.044228
Ersbøl.	0.044228
bhainc.	0.044228
pasará.	0.044228
Bontes.	0.044228
Liddle.	0.044228
Latino.	0.044228
gentry.	0.044228
UNHCHR.	0.044228
morons.	0.044228
Rahimi.	0.044228
siècle.	0.044228
arabic.	0.044228
branle.	0.044228
kosher.	0.044228
libera.	0.044228
Veneta.	0.044228
UNITED.	0.044228
Buyaya.	0.044228
Tümtis.	0.044228
Vondry.	0.044228
blades.	0.044228
'Werte.	0.044228
Otreca.	0.044228
Artois.	0.044228
minder.	0.044228
Masson.	0.044228
hechos.	0.044228
Grocio.	0.044228
bucked.	0.044228
Fox TV.	0.044228
aiders.	0.044228
rIghts.	0.044228
Valium.	0.044228
Sejdiu.	0.044228
Madsen.	0.044228
Sankey.	0.044228
Bialik.	0.044228
optout.	0.044228
Assize.	0.044228
226 EC.	0.044228
Alatas.	0.044228
Amtrak.	0.044228
Gardez.	0.044228
arrays.	0.044228
Graida.	0.044228
gloats.	0.044228
Polity.	0.044228
resits.	0.044228
Oscars.	0.044228
Jakisa.	0.044228
65km/h.	0.044228
Sindhi.	0.044228
Karamé.	0.044228
sunbed.	0.044228
Ródano.	0.044228
Brugge.	0.044228
softie.	0.044228
11.a.m.	0.044228
Dickey.	0.044228
hIndia.	0.044228
Ayllón.	0.044228
decays.	0.044228
spongy.	0.044228
unmade.	0.044228
neartú.	0.044228
Adagio.	0.044228
Eldina.	0.044228
CNUCED.	0.044228
plámás.	0.044228
Rømero.	0.044228
Garoña.	0.044228
Sheets.	0.044228
Qishan.	0.044228
muette.	0.044228
Szajer.	0.044228
Rebane.	0.044228
yawned.	0.044228
evader.	0.044228
Loriot.	0.044228
heckle.	0.044228
Bedous.	0.044228
Fillon.	0.044228
Ürümqi.	0.044228
mucins.	0.044228
Leiden.	0.044228
Khulna.	0.044228
1.78bn.	0.044228
cosier.	0.044228
tipple.	0.044228
EU GDP.	0.044228
Dwarfs.	0.044228
peanut.	0.044228
Nister.	0.044228
74.95m.	0.044228
Sonata.	0.044228
Tropez.	0.044228
lathes.	0.044228
Mitzna.	0.044228
anwser.	0.044228
Bowman.	0.044228
to-day.	0.044228
Adamus.	0.044228
Alvear.	0.044228
Athene.	0.044228
112.5m.	0.044228
winger.	0.044228
garret.	0.044228
Zhodin.	0.044228
amides.	0.044228
1950’s.	0.044228
Ogonis.	0.044228
Vasora.	0.044228
habent.	0.044228
Lindau.	0.044228
Slavov.	0.044228
Dovers.	0.044228
warder.	0.044228
Annone.	0.044228
d’etat.	0.044228
Ghneim.	0.044228
undead.	0.044228
Heisel.	0.044228
Aetate.	0.044228
bosoms.	0.044228
Kanlho.	0.044228
Nights.	0.044228
μέλλον.	0.044228
regent.	0.044228
Dubski.	0.044228
20 May.	0.044228
Nariño.	0.044228
500/ha.	0.044228
gazers.	0.044228
Acebes.	0.044228
Mordas.	0.044228
Alamán.	0.044228
Scipio.	0.044228
Belami.	0.044228
Upsala.	0.044228
DANIDA.	0.044228
27 May.	0.044228
Buyema.	0.044228
C-SPAN.	0.044228
baddie.	0.044228
bliana.	0.044228
Cabral.	0.044228
salons.	0.044228
Tiflis.	0.044228
Mitsos.	0.044228
hijabs.	0.044228
Gouled.	0.044228
Syanko.	0.044228
750 kg.	0.044228
Erasme.	0.044228
obstat.	0.044228
Schumi.	0.044228
NOAELS.	0.044228
opener.	0.044228
realty.	0.044228
críche.	0.044228
Faluja.	0.044228
Nosema.	0.044228
EU-ops.	0.044228
Prodan.	0.044228
OCCEFS.	0.044228
squeal.	0.044228
10 p.m.	0.044228
Gospič.	0.044228
Suarèz.	0.044228
healer.	0.044228
albion.	0.044228
Repola.	0.044228
Sirnak.	0.044228
Hotiza.	0.044228
Itihad.	0.044228
Dolejš.	0.044228
yokels.	0.044228
fiends.	0.044228
Cheong.	0.044228
Parigi.	0.044228
orbits.	0.044228
000/ha.	0.044228
anemia.	0.044228
Mamami.	0.044228
Sharaf.	0.044228
Baidoa.	0.044228
Demiri.	0.044228
'Lenin.	0.044228
Dalton.	0.044228
Verdun.	0.044228
18/rev.	0.044228
Skarga.	0.044228
Heping.	0.044228
Colmar.	0.044228
Argaña.	0.044228
entrée.	0.044228
Kantor.	0.044228
Persie.	0.044228
messin.	0.044228
rosily.	0.044228
Cioran.	0.044228
jammer.	0.044228
Fungus.	0.044228
Gullit.	0.044228
Devine.	0.044228
Marija.	0.044228
diners.	0.044228
EMCDAA.	0.044228
finita.	0.044228
Essaïd.	0.044228
dorado.	0.044228
Tahiti.	0.044228
boomer.	0.044228
airbus.	0.044228
egonet.	0.044228
E-Mail.	0.044228
Polaka.	0.044228
unhurt.	0.044228
Kaunas.	0.044228
Rikova.	0.044228
Yangon.	0.044228
Rovigo.	0.044228
Workum.	0.044228
groove.	0.044228
Morres.	0.044228
moufti.	0.044228
Ducati.	0.044228
domhan.	0.044228
chilli.	0.044228
Helens.	0.044228
maidin.	0.044228
spires.	0.044228
Kandal.	0.044228
POLARM.	0.044228
11 p.m.	0.044228
feasta.	0.044228
hulled.	0.044228
Lesbos.	0.044228
Shalev.	0.044228
Author.	0.044228
Can-Do.	0.044228
Duguit.	0.044228
Hunzvi.	0.044228
Qa’ida.	0.044228
Intake.	0.044228
Snaigė.	0.044228
peachy.	0.044228
Fátima.	0.044228
LA.O.S.	0.044228
Zammit.	0.044228
Illyés.	0.044228
Bangui.	0.044228
NORDEL.	0.044228
headon.	0.044228
10.8bn.	0.044228
Tavano.	0.044228
d'État.	0.044228
arcade.	0.044228
Kurami.	0.044228
junked.	0.044228
450ppm.	0.044228
LIFE-III.	0.043082
spot-on.	0.042160
idiots.	0.039916
peril.	0.037431
matchbox.	0.032541
Proverbs.	0.032541
mufflers.	0.032541
adopters.	0.032541
Al-Assad.	0.032541
snoopers.	0.032541
Mayorski.	0.032541
put-down.	0.032541
Suriname.	0.032541
36 hours.	0.032541
becalmed.	0.032541
flunkeys.	0.032541
both/and.	0.032541
detector.	0.032541
seriatim.	0.032541
e-patent.	0.032541
jugglers.	0.032541
Noshehra.	0.032541
tricycle.	0.032541
coteries.	0.032541
knife-edge.	0.031721
peccadillo.	0.031721
minefields.	0.030542
ounces.	0.029139
Ajaria.	0.029139
d’Azur.	0.029139
Miquelon.	0.023265
Amezaga.	0.021080
boffins.	0.021080
abscond.	0.021080
barcode.	0.021080
Quimper.	0.021080
cortege.	0.021080
Enemies.	0.021080
shopper.	0.021080
jitters.	0.021080
Yiddish.	0.021080
bourses.	0.021080
Jesuits.	0.021080
slacker.	0.021080
Pradesh.	0.021080
Kabinda.	0.021080
Soyinke.	0.021080
riddles.	0.021080
Daytona.	0.021080
pageant.	0.021080
bulking.	0.021080
Zambezi.	0.021080
Üsküdar.	0.021080
atrophy.	0.021080
rearers.	0.021080
McDonalds.	0.018925
headstart.	0.018925
blindfold.	0.018925
Franconia.	0.018925
hymn-sheet.	0.017957
Flytrap.	0.016271
grating.	0.016271
Hajiyev.	0.016271
aplenty.	0.016271
puffins.	0.016271
EURIBOR.	0.016271
harpist.	0.016271
Serbska.	0.016271
Ryshkov.	0.016271
sachets.	0.016271
Euganeo.	0.016271
builtup.	0.016271
Borovoy.	0.016271
unwound.	0.016271
Tizfahm.	0.016271
écartée.	0.016271
Vintage.	0.016271
Learjet.	0.016271
Novalis.	0.016271
Fontane.	0.016271
Aoveros.	0.016271
Magusta.	0.016271
Delbeke.	0.016271
nullity.	0.016271
NextGen.	0.016271
acquise.	0.016271
on-side.	0.016271
oilcake.	0.016271
Ruhnama.	0.016271
Betamax.	0.016271
Östdahl.	0.016271
busload.	0.016271
REPONSE.	0.016271
Peterka.	0.016271
rickets.	0.016271
heroics.	0.016271
endings.	0.016271
inergen.	0.016271
Fregoli.	0.016271
Masuria.	0.016271
e-crime.	0.016271
drifter.	0.016271
line–up.	0.016271
Kounser.	0.016271
crisply.	0.016271
Lousada.	0.016271
naïveté.	0.016271
Gaerner.	0.016271
emarket.	0.016271
loafers.	0.016271
Kalikot.	0.016271
perused.	0.016271
Gabarró.	0.016271
hauteur.	0.016271
Kertész.	0.016271
beggary.	0.016271
PropCom.	0.016271
Althing.	0.016271
theacht.	0.016271
Hümayun.	0.016271
Maguire.	0.016271
Manchus.	0.016271
Flowing.	0.016271
Bijagós.	0.016271
Fontell.	0.016271
Tripura.	0.016271
ProRail.	0.016271
realité.	0.016271
’planes.	0.016271
Khramov.	0.016271
Césaire.	0.016271
armadas.	0.016271
Klecany.	0.016271
Alkmaar.	0.016271
starves.	0.016271
incubus.	0.016271
madloba.	0.016271
dockets.	0.016271
lovable.	0.016271
dolines.	0.016271
Sonntag.	0.016271
voyeurs.	0.016271
farting.	0.016271
L'Altro.	0.016271
Quargel.	0.016271
planche.	0.016271
Duékoué.	0.016271
Hillery.	0.016271
miles/h.	0.016271
Pescara.	0.016271
Drakkar.	0.016271
kW/hour.	0.016271
Klaiber.	0.016271
Hernani.	0.016271
softies.	0.016271
ingests.	0.016271
Novilus.	0.016271
GNI/GNP.	0.016271
warhead.	0.016271
delicti.	0.016271
Forties.	0.016271
airside.	0.016271
burrows.	0.016271
Bifrons.	0.016271
Novarum.	0.016271
Prabang.	0.016271
Apaches.	0.016271
rezoned.	0.016271
Redeyef.	0.016271
Pompeii.	0.016271
gunship.	0.016271
Azpiroz.	0.016271
re-done.	0.016271
pensive.	0.016271
Denktaº.	0.016271
Chakmas.	0.016271
Kosonen.	0.016271
Texeira.	0.016271
peptide.	0.016271
Monette.	0.016271
EU-SILC.	0.016271
Eurotax.	0.016271
rearmed.	0.016271
Euskara.	0.016271
Kerepes.	0.016271
gràcies.	0.016271
Borlaug.	0.016271
Halïnen.	0.016271
Apalina.	0.016271
cicadas.	0.016271
Álverez.	0.016271
dweller.	0.016271
65-plus.	0.016271
Rabochy.	0.016271
Urdaniz.	0.016271
Awesome.	0.016271
Rebière.	0.016271
Shriver.	0.016271
Tabasco.	0.016271
Datamat.	0.016271
Racists.	0.016271
rumbled.	0.016271
sowings.	0.016271
19-fold.	0.016271
spammed.	0.016271
Rentals.	0.016271
haywire.	0.016271
Yankees.	0.016271
baloney.	0.016271
eco-fee.	0.016271
morgues.	0.016271
huskies.	0.016271
Caballé.	0.016271
DG-TREN.	0.016271
Wim Kok.	0.016271
Mr Euro.	0.016271
endgame.	0.016271
caselaw.	0.016271
Shishko.	0.016271
scalpel.	0.016271
29 days.	0.016271
proline.	0.016271
chuckle.	0.016271
Chabine.	0.016271
Hendaía.	0.016271
Assubel.	0.016271
Barabas.	0.016271
Wiranto.	0.016271
Haladja.	0.016271
Dekhudt.	0.016271
Mubarek.	0.016271
sprints.	0.016271
Moomins.	0.016271
pyralis.	0.016271
pre-IGC.	0.016271
renters.	0.016271
Avintes.	0.016271
petfood.	0.016271
Dubanov.	0.016271
Turmeda.	0.016271
Artacin.	0.016271
drudges.	0.016271
Abstain.	0.016271
Agewncy.	0.016271
Geneina.	0.016271
dungeon.	0.016271
1.41p.m.	0.016271
Rome II.	0.016271
eImpact.	0.016271
spol.sr.	0.016271
khanate.	0.016271
Midrand.	0.016271
teapots.	0.016271
réimeas.	0.016271
war-war.	0.016271
punched.	0.016271
Gimondi.	0.016271
stardom.	0.016271
hiomlán.	0.016271
jazilan.	0.016271
ganders.	0.016271
EUROJUS.	0.016271
COCOLAF.	0.016271
shakier.	0.016271
adult’s.	0.016271
repents.	0.016271
Lascaux.	0.016271
Derrick.	0.016271
Himself.	0.016271
Medeksa.	0.016271
Sandman.	0.016271
chateau.	0.016271
El-Feki.	0.016271
Equidae.	0.016271
Kozludy.	0.016271
moaners.	0.016271
Tebbitt.	0.016271
klubben.	0.016271
domhain.	0.016271
Matella.	0.016271
smelter.	0.016271
Crajina.	0.016271
tanners.	0.016271
Gadient.	0.016271
Kamadir.	0.016271
Hurtado.	0.016271
Kosulin.	0.016271
chairde.	0.016271
speared.	0.016271
shading.	0.016271
unmanly.	0.016271
Pickles.	0.016271
Ikramov.	0.016271
Ovesena.	0.016271
Giralda.	0.016271
flannel.	0.016271
jesting.	0.016271
Urusgan.	0.016271
Jarakui.	0.016271
dropper.	0.016271
Symptom.	0.016271
Preside.	0.016271
shavers.	0.016271
stupide.	0.016271
Nilsson.	0.016271
Cossuta.	0.016271
adjecto.	0.016271
Åboland.	0.016271
Ordizia.	0.016271
Wendish.	0.016271
Shokohi.	0.016271
Gardena.	0.016271
sickbed.	0.016271
Kokoity.	0.016271
Basilan.	0.016271
pectore.	0.016271
caesura.	0.016271
flyways.	0.016271
U-boats.	0.016271
Letgale.	0.016271
Potomac.	0.016271
Feirste.	0.016271
cubicle.	0.016271
Pharaoh.	0.016271
cheater.	0.016271
E.C.A.C.	0.016271
taqiyya.	0.016271
Gorazde.	0.016271
playoff.	0.016271
Equitas.	0.016271
Orinoco.	0.016271
chooser.	0.016271
14 July.	0.016271
flutter.	0.016271
bravura.	0.016271
herbals.	0.016271
Bambara.	0.016271
ballads.	0.016271
Degrees.	0.016271
Tiflida.	0.016271
Nitikin.	0.016271
Bi'ilin.	0.016271
Kolelas.	0.016271
Jaakola.	0.016271
Assyria.	0.016271
Sha’ath.	0.016271
